الفئة المستهدفة;مبلغ القرض;مدة التسديد;الشروط الأساسية
الشبان (أقل من 40 سنة) والفنيون حاملو الشهادات;250 ألف دينار;25 سنة;تمويل ذاتي بين 5% و10%، مع مدة إمهال 7 سنوات.
اقتناء منابات الشركاء على الشياع;125 ألف دينار;25 سنة;فائض القرض بنسبة 3%.
;;;
;;;
;;;
;;;
;;;
;;;
